field_1,well_id,Alkalinity,Alkalinity_Total,ANC,As,Ba,Be,Bicarbonate,Br-,Ca,Carbonate,Cd,Cl,Cl-,CO2,Conductivity,Cr,Cyanide,DO,ElectricalConductivity,"Gross alpha, 2-sigma combined uncertainty",GrossAlpha,GrossAlpha_U_Nat,GrossBeta,GrossBeta_Cs137,GrossBeta_Sr_Y90,Hardness,Hardness_Total,Hg,HydrogenIon,Hydroxide,K,Mg,Mn,Na,Na_AdsorptionRatio,Na_FractionCations,Na_K,Nitrate,Nitrate_Nitrite,NO2-,NO3-,Noncarbonate_Hardness,ORP,Pb,Ra_226,"Ra_226, 2-sigma combined uncertainty",Ra_228,"Ra_228, 2-sigma combined uncertainty",Ra_Total,Sb,Se,SpecificConductance,Temperature,Tl,Turbidity,U
117,343,,,,11.6,32.4,2,,,20.9,,2,,,,1577,5,,,,,15.7,,9.4,,,,,0.05,,,5.08,10.8,8,311,,,,,,,,,0,3,0.12,,0.534,,,10,3.6,,20.3,10,,18.61343284
118,344,,,,10,1210,2,,,56,,2,,,,719,5,,,,,0.974,,5.31,,,,,0.013,,,4.62,21.4,49.9,70.7,,,,,,,,,605,3,0.078,,0.483,,,10,5,,22.7,10,,0.086567164
119,345,,,,170,6,2,,,2.815,,2,,,,842,20,,8,0.67,,2.16,,4.76,,,,,,,,2.4,0.736,4.7,122,,,,,,,0.1,,253,3,0.037,,0.563,,,10,170,502,18.65,10,6,5.750746269
120,346,,,,10,13.9,2,,,9.18,,2,,,,513,5,,,,,3.52,,3.83,,,,,0.071,,,2.63,3.1,1.8,97.2,,,,,,,,,261,2.4,0.106,,0.394,,,2.8,4.4,,10.2,4.2,,7.467164179
121,347,,,,10,12.5,0.2,,,21.1,,2,,,,664,5,,,,,4.69,,6.37,,,,,0.072,,,3.41,6.32,4.9,118,,,,,,,,,225,3,0.092,,0.101,,,10,25.9,,11.3,10,,12.15522388
122,348,,,,6,87.5,2,,,16,,0.37,,,,551,10.2,,,,,15,,13.8,,,,,0.18,,,5.99,5.2,1.8,94.8,,,,,,,,,668,3,0.298,,0.219,,,10,3.2,,12.5,6.2,,24.4641791
123,350,,,,3.5,88.2,2,,,56.6,,2,,,,178,5,,,,,13.8,,10.8,,,,,0.069,,,9.06,10.8,1.5,111,,,,,,,,,54,3,0.108,,0.206,,,3.6,2.9,,10.3,10,,16.10447761
124,351,,,,10,99.9,2,,,86.2,,0.33,,,,1049,5,,,,,14.8,,4.31,,,,,0.074,,,0.753,41.1,207,100,,,,,,,,,72,2.4,0.039,,0.32,,,2.7,5,,7.4,4.6,,16.52985075
125,352,,,,10,9.1,2,,,52.4,,2,,,,1000,5,,,,,39.3,,42.7,,,,,0.057,,,7.83,19.6,57.3,207,,,,,,,,,312,3,0.082,,0.554,,,10,5,,9.1,10,,108.9701493
126,353,,,,6.2,21.8,2,,,112,,2,,,,914,5,,,,,4.31,,11.5,,,,,0.12,,,8.46,36.8,433,143,,,,,,,,,237,1.3,1.91,,1.95,,,10,5,,11.6,10,,0.488059701
127,354,,,,10,20.1,2,,,271,,2,,,,1381,5,,,,6.18,50.4,,28.8,,,,,0.2,,,5.75,80.3,1.1,61.2,,,,,,,,,264,3,2.77,,1.55,,2.55,10,39.8616919,,9.1,10,,98.50746269
128,355,,,,10,7.6,2,,,178.5,,2,,,,1989,20,,5,2.91,,10,,10.5,,,,,0.31,,,6.18,75.6,321,418.5,,,,,,,0.1,,269,3,1.46,,2.22,,,10,17.91369187,,15.15,6.3,4,11.05373134
129,356,,,,10,11.1,2,,,11.7,,2,,,,1431,4.8,,,,,9.03,,17.8,,,,,0.075,,,11.2,3.62,61.7,266,,,,,,,,,252,3,0.11,,0.359,,,10,208,,14.5,10,,18.76716418
130,357,,,,10,45.5,0.57,,,176,,2,,,,1181,5,,,,6.69,78,,25.1,,,,,0.05,,,3.23,58.5,2.7,18.8,,,,,,,,,247,3,2.01,,4.68,,5.77,10,93.68896105,,13.5,10,,157.1843347
131,358,,,,10,99.9,2,,,106,,2,,,,777,5,,,,,4.36,,5.89,,,,,0.069,,,3.1,28.4,1.4,25.5,,,,,,,,,213,3,0.186,,0.473,,,3.7,3.3,,11.3,10,,13.86268657
132,359,,,,2.8,58.3,0.15,,,145,,2,,,,1239,2.8,,,,,13.3,,10.6,,,,,0.072,,,5.86,33,73.4,91.9,,,,,,,,,308,9.7,0.125,,0.247,,,3.2,6.9,,11.2,10,,20.3119403
133,360,,,,10,7.2,2,,,210,,2,,,,1313,5,,,,,1.99,,2.99,,,,,0.066,,,5.68,92.9,4.2,19.7,,,,,,,,,140,3,0.074,,0.451,,,10,5,,11.4,10,,1.48358209
134,361,,,,10,28.9,2,,,402,,2,,,,2280,5,,,,,11.1,,16.5,,,,,0.078,,,12.3,134,3.4,24.1,,,,,,,,,306,3,0.116,,0.987,,,10,2.5,,11.6,5.1,,7.653731343
135,362,,,,10,84.7,0.18,,,56.3,,0.54,,,,332,5,,,,,2.67,,8.77,,,,,0.37,,,6.94,11.2,0.34,8.47,,,,,,,,,404,1.3,0.225,,0.499,,,10,5,,9.3,10,,8.435820896
136,363,,,,44.1,8.2,2,,,3.63,,2,,,,738,17.1,,,,,14.1,,9.97,,,,,0.11,,,1.51,0.846,6.2,192,,,,,,,,,900,2.3,0.035,,0.308,,,10,5,,12.4,10,,25.36567164
137,364,,,,10,51.2,0.41,,,80.1,,2,,,,676,5,,,,,15,,6.6,,,,,0.12,,,3.42,24.1,3.6,29.5,,,,,,,,,215,3,0.147,,0.172,,,10,19.2,,20.6,10,,13.90597015
138,365,,,,10,42.4,0.42,,,27.8,,2,,,,1478,5,,,,,44.4,,16.2,,,,,0.097,,,4.56,4.86,1.7,285,,,,,,,,,213,3,0.098,,0.655,,,10,2.9,,19.1,4.6,,59.58358209
139,366,,,,3.4,44.5,2,,,544,,2,,,,5520,17.3,,,,,87.9,,54.1,,,,,0.16,,,20.5,259,1390,757,,,,,,,,,214,6.3,0.245,,1.77,,,10,5,,16.8,4.8,,89.64179104
140,367,,,,10,15.2,2,,,451,,2,,,,5550,5,,,,,64,,36.2,,,,,0.16,,,11.2,289,187,643,,,,,,,,,203,1.5,0.065,,0.639,,,10,69.4,,18.5,10,,70.33731343
141,368,,,,28.5,3.7,2,,,0.997,,2,,,,595,29.7,,,,,13.3,,5.03,,,,,0.22,,,0.75,0.163,7.1,135,,,,,,,,,219,1.7,0.032,,0.516,,,10,5,,19.8,6.1,,17.87462687
142,369,,,,10,18,2,,,3.75,,2,,,,602,20,,12,0.645,,2.33,,1.88,,,,,0.18,,,2.49,0.342,23,151,,,,,,,0.1,,199,15.9,0.032,,0.216,,,10,5,,20.15,10,243,3.62238806
143,370,,,,10,10.8,2,,,11.5,,2,,,,2250,5,,,,,1.79,,3.31,,,,,0.15,,,3.09,1.74,2.5,423,,,,,,,,,185,3,0.069,,0.681,,,10,13.82261682,,19.1,4.9,,1.427623029
144,371,,,,5.3,2.2,0.11,,,0.667,,2,,,,414,10.8,,,,,2.71,,2.01,,,,,0.19,,,0.3,0.0574,0.76,91.2,,,,,,,,,178,3.7,0.004,,0.242,,,10,5,,22.2,10,,3.394029851
145,372,,,,10,20.1,0.17,,,120,,2,,,,784,5,,,,,4.34,,4.86,,,,,0.08,,,1.47,46.3,4,6.42,,,,,,,,,228,3,0.119,,0.097,,,10,4.3,,12.7,4.1,,3.780597015
146,373,,,,10,20.5,2,,,475.5,,2,,,,1500,20,,6,1.98,,2.09,,13.3,,,,,0.054,,,9.35,121,650,51.55,,,,,,,0.87,,178,2.4,1.32,,5.17,,,10,5,,14.1,5.9,28,1.67761194
147,374,,,,17.2,4.1,0.63,,,1.95,,2,,,,955,4.9,,,,,1.25,,0.978,,,,,0.031,,,1.26,0.201,8,199,,,,,,,,,398,3,0.088,,0.53,,,10,5,,12.2,4.8,,1.586567164
148,375,,,,10,52.8,0.78,,,34.2,,2,,,,274,5,,,,,9.06,,4.53,,,,,0.05,,,0.77,5.61,4,6.2,,,,,,,,,271,3,0.703,,0.572,,,10,5,,10,10,,8.497014925
149,376,,,,10,4.2,0.35,,,11.1,,2,,,,2180,5,,,,,2.82,,2.77,,,,,0.05,,,2.19,2.04,16.9,580,,,,,,,,,242,3,0.283,,0.571,,,10,5,,6.4,4,,24.74627833
150,377,,,,10,79.2,2,,,120.5,,2,,,,585,20,,10,0.49,,1.62,,5.58,,,,,0.072,,,3.725,30.1,23,24.95,,,,,,,0.1,,232,3,0.101,,0.751,,,10,2.7,,13.45,10,10,8.311940299
151,378,,,,10,374,2,,,100,,2,,,,599,5,,,,,4.3,,5.02,,,,,0.25,,,2.15,23.7,128,42.1,,,,,,,,,232,3,0.075,,0.386,,,10,5,,9.3,10,,15.01641791
152,379,,,,10,246,2,,,110,,2,,,,812,5,,,,,10.5,,8.41,,,,,0.067,,,4.72,30.9,863,73,,,,,,,,,73,2.5,0.116,,0.534,,,10,5,,11.3,4.1,,13.31641791
153,380,,,,10,271,2,,,75.2,,2,,,,490,5,,,,,7.44,,4.22,,,,,0.063,,,2.15,10.4,8.2,30.4,,,,,,,,,244,3,0.281,,0.263,,,10,5,,15.7,10,,11.13134328
154,381,,,,2.7,115,2,,,64.4,,2,,,,504,5,,,,,10.4,,6.71,,,,,0.059,,,4.2,11.3,1,54.1,,,,,,,,,643,3,0.208,,0.975,,,10,5,,12.2,4,,12.58208955
155,382,,,,10,147,2,,,64.8,,2,,,,526,5,,,,,8.54,,8.46,,,,,0.07,,,3.35,13.7,18,50.6,,,,,,,,,256,3,0.079,,0.303,,,10,5,,15.8,10,,11.58358209
156,383,,,,10,65.1,2,,,55.3,,2,,,,486,5,,,,,8.74,,8.85,,,,,0.059,,,5.5,18.5,20.5,41.7,,,,,,,,,172,3.6,0.121,,0.358,,,10,4.2,,16.1,10,,14.6761194
157,384,,,,282,763,0.21,,,77.3,,2,,,,445,5,,,,,36.1,,23.6,,,,,0.12,,,3.09,9.18,2550,15.2,,,,,,,,,273,17.4,3.07,,1.22,,,10,6.5,,16.4,10,,33.46567164
158,385,,,,5.2,137,0.24,,,55.6,,2,,,,320,6,,,,,6.16,,10.2,,,,,0.14,,,5.6,19,20.6,10.6,,,,,,,,,296,75.1,0.137,,0.234,,,10,5,,12.4,4.7,,14.17313433
159,386,,,,10,954,2,,,57.5,,2,,,,463,5,,,,,0.133,,2.77,,,,,0.18,,,2.21,16.7,307,27.3,,,,,,,,,267,3,0.226,,0.228,,,10,5,,11.8,10,,0.120895522
160,387,,228,,4.7,75.4,2,,,25.95,,2,,16.7,,707.5,5,,,,,13.5,,9.35,,,62,64.8,0.05,,,1.44,3.715,1,140.5,,,,,,0.05,0.84,,204,3,0.126,,1.09,,1.216,10,5,,15.8,10,0.496,28.87163508
161,388,,431.5,,55,63,2,,,8,,2,,65.03808652,,1280,5,,,,,71,,17.5,,,33.5,40,0.019,,,1.121870944,3.45,14,285.2041987,,,,1.68506046,,0.05,1.8,,147,3,2.65,,1.83,,,10,5.1,,14.8,2.9,8.2,47.42
162,389,,,,31.9,55.1,2,,,5.67,,2,,,,1285,5,,,,,17.6,,8.81,,,,,0.025,,,2.11,2.5,5.2,261,,,,,,,,,179,3,0.06,,0.215,,,10,6.2,,26.3,5.7,,34.82089552
163,390,,,,82.00753309,23,2,,,4.913454228,,2,,124.3184681,,1598,5,,,,,45.5,,36.9,,,,,0.05,,,0.66,1.965812024,0.55,169.1450511,,,,6.36900538,,,,,171,4,0.073,,0.689,,,10,31.10448341,,24.2,10,,187.9299094
164,391,,,,20,32.2,2,,,14.9,,2,,,,1131,20,,6,0.554,,6.1,,8.11,,,,,0.05,,,1.78,1.98,54.2,187.5,,,,,,,0.1,,198,11,0.362,,0.756,,,10,5,,23.2,3.3,0,12.46716418
165,392,,,,10,45.2,0.09,,,51,,2,,,,473,5,,,,,11,,12.8,,,,,0.05,,,8.66,5.77,10.8,37.8,,,,,,,,,182,4.9,0.078,,0.672,,,10,5,,23.3,10,,12.73731343
166,393,,,,10,28.6,2,,,98.5,,2,,,,598,5,,,,,14.5,,3.71,,,,,0.05,,,4.49,54,25.4,930,,,,,,,,,164,3,0.586,,1.54,,,10,5,,28.7,10,,3.276119403
167,394,,,,10,30.5,2,,,66.8,,2,,,,2670,5,,,,,5.8,,4.45,,,,,0.05,,,4.65,21.8,11,397,,,,,,,,,167,3,0.166,,0.311,,,10,5,,29.9,10,,3.935820896
168,395,,,,10,26.1,2,,,52.9,,2,,,,652,5,,,,,4.43,,5.14,,,,,0.05,,,5.66,36.4,2.7,34.2,,,,,,,,,232,3,0.066,,0.458,,,10,32.52656914,,22.1,10,,14.88370905
169,397,,,,3.3,16.8,2,,,52.5,,2,,,,1716,5,,,,,1.78,,6.11,,,,,0.009,,,5.5,29,24.9,316,,,,,,,,,221,3,0.049,,0.567,,,10,5,,19,10,,4.164179104
170,398,,,,47,30.7,2,,,57.1,,2,,,,445,5,,,,,7,,5.79,,,,,0.05,,,4.02,24.2,65.2,340,,,,,,,,,389,1.1,0.064,,0.46,,,10,5,,17.6,10,,2.873134328
171,400,,,,10,1.7,2,,,4.97,,2,,,,420,5,,,,,0.31,,1.14,,,,,0.05,,,1.39,1.29,12.6,98.2,,,,,,,,,226,3,0.581,,2.48,,,10,5,,20.2,10,,0.323880597
172,401,,,,10,38.8,2,,,56.41853032,,2,,,,586,5,,,,,0.436,,2.86,,,,,0.022,,,1.17,16.03737099,107,14.75,,,,,,,,,195,3,0.22,,0.742,,,10,5,,24.7,10,,0.34
173,402,,,,10,49.7,2,,,25.53264597,,2,,,,410,5,,,,,0.649,,5.95,,,,,0.05,,,3.285,4.109202549,15,26.25,,,,,,,,,144,3,0.121,,0.813,,,10,5,,25.5,10,,0.51567104
174,403,,,,10,8.8,2,,,32.1,,2,,,,792,5,,,,,3.68,,4.02,,,,,0.008,,,2.08,6.12,11,132,,,,,,,,,192,3,0.288,,0.546,,,10,5,,24.9,3.1,,3.632835821
175,404,,,,3.9,121,2,,,30.1,,2,,,,266,5,,,,,6.78,,4.78,,,,,0.016,,,0.971,2.44,189,20.8,,,,,,,,,223,3,0.096,,0.362,,,10,5,,22.7,10,,4.140298507
176,405,,,,6.6,72.6,2,,,51.59059674,,2,,66.75625237,,1673,5,,,,,12.1,,14.7,,,,,0.016,,,4.515099769,18.24147133,18.3,176.9375927,,,,4.85259798,,,,,242,3,0.096,,0.822,,,10,14.45112152,,26.4,3.3,,55.18694266
177,406,,,,2.8,91.3,2,,,32.4,,2,,,,437,5,,,,,4.54,,6.03,,,,,0.019,,,4.32,6.67,21.8,49,,,,,,,,,234,3,0.151,,0.803,,,10,5,,29,10,,6.734328358
178,407,,,,10,26.3,2,,,19.4,,2,,,,289,5,,,,,4.36,,3.73,,,,,0.018,,,3.23,2.25,13.3,46.4,,,,,,,,,232,3,0.063,,0.799,,,10,5,,22.4,10,,5.08358209
179,408,,,,10,99.5,2,,,23.7,,2,,,,358,5,,,,,3.34,,3.95,,,,,0.017,,,3.38,5.05,8.2,36.3,,,,,,,,,226,3,0.179,,0.46,,,10,5,,25.7,10,,3.473134328
180,409,,,,3.8,55.1,2,,,28.5,,2,,,,345,5,,,,,3.2,,2.26,,,,,0.012,,,1.54,6.39,4,29.5,,,,,,,,,201,3,0.1,,0.572,,,10,5,,29,10,,5.268656716
181,410,,,,3.4,95.2,2,,,64,,2,,,,775,5,,,,,4.3,,4.09,,,,,0.05,,,3.03,13.9,31.7,59.2,,,,,,,,,162,3,0.141,,0.722,,,10,3.4,,31.7,4.8,,6.252238806
182,411,,,,2.6,46.6,2,,,25.8,,2,,,,229,5,,,,,0.955,,1.96,,,,,0.05,,,1.38,4.4,4,8.23,,,,,,,,,598,3,0.056,,0.501,,,3.8,5,,18.7,3.2,,1.494029851
183,412,,,,7.3,16.2,2,,,5.53,,2,,,,590,5,,,,,1.25,,3.09,,,,,0.05,,,2.33,2.29,3.9,127,,,,,,,,,122,3,0.044,,1.16,,,10,5,,24.3,10,,1.011940299
184,413,,,,10,60.3,2,,,74.2,,2,,,,1160,5,,,,,2.09,,2.74,,,,,0.022,,,7.86,23.6,0.71,229,,,,,,,,,215,3,0.097,,0.268,,,10,8.2,,21,3,,31.04925373
185,414,,,,30.8,365,0.68,,,112,,1.1,,,,542,18.7,,,,,30.5,,18.8,,,,,0.039,,,5.97,18.5,500,74.5,,,,,,,,,230,81.8,1.02,,1.12,,,10,5.4,,23.9,10,,4.521492537
186,415,,,,5.2,76.4,2,,,23.73134508,,2,,4.09612843,,264,5,,,,,1,,2.78,,,,,0.022,,,1.74,4.208662935,2.5,7.389013669,,,,9.09730811,,,,,178,3,0.106,,0.631,,,10,5,,23.7,10,,1.892289662
187,416,,,,2.7,98.6,2,,,36.1,,2,,,,491,5,,,,,15,,5.58,,,,,0.05,,,2.33,9.24,3.1,53.9,,,,,,,,,176,3,0.115,,0.471,,,10,4.2,,24.4,5.4,,19.05074627
188,417,,,,2.7,71.7,2,,,29.7,,2,,,,247,5,,,,,2.2,,2.46,,,,,0.014,,,2.12,6.09,5,14.4,,,,,,,,,168,3,0.107,,0.475,,,10,5,,23.1,10,,2.12238806
189,418,,,,4.1,209,2,,,66.6,,2,,,,609,5,,,,,1.62,,39.3,,,,,0.036,,,36.6,9.93,50.3,14.7,,,,,,,,,232,2.6,0.227,,1.49,,,10,5,,22.4,10,,0.210447761
190,419,,,,13.32261943,53.2,0.12,,,1.263202956,,2,,,,721,10.6,,,,,6.52,,2.4,,,,,0.031,,,0,1.030463208,0.35,3.889221271,,,,,,,,,236,3,0.039,,0.19,,,10,38.08320721,,30.5,6.9,,11.24328358
191,420,,,,4.6,41.3,2,,,31.9,,2,,,,295,5,,,,,2.41,,2.7,,,,,0.02,,,1.6,8.08,1.1,16.9,,,,,,,,,0,3,0.022,,0.17,,,10,5,,24.1,3,,2.898507463
192,421,,,,10,13.4,2,,,305.8334922,,2,,51.18365334,,2400,5,,,,,10.4,,13.3,,,,,0.019,,,7.823521235,142.051336,4,128.0116172,,,,30.60312059,,,,,290,3,0.134,,0.237,,,10,79.87044953,,22.3,10,,24.80462351
193,422,,,,7.6,258,2,,,17.5,,2,,,,302,5,,,,,3.73,,4.77,,,,,0.022,,,1.42,10,1,23.8,,,,,,,,,272,3,0.108,,0.444,,,10,5,,31.5,10,,3.007462687
194,423,,,,10,10.4,2,,,551,,2,,,,405,5,,,,,16.4,,24.6,,,,,0.028,,,21,219,9.7,217,,,,,,,,,285,3,0.13,,0.379,,,10,35.7,,28.9,3.3,,20.98059701
195,424,,,,10,0.57,2,,,21.63958992,,0.039,,,,0,5,,,,,0.5,,3.3,,,,,0.05,,,0.15,7.966432375,4,0.2,,,,,,,,,243,3,0.2,,,,,10,5,,4.6,10,,2.388059701
196,425,,,,1.636977035,23.4,2,,,35.8,,1.13,,,,0,5,,,,,,,2.9,,,,,0.05,,,2.73,11.5,2.2,128,,,,,,,,,258,1.2,,,,,,10,5,,3.1,10,,1.194029851
197,426,,,,0.54,34.4,2,,,29.8,,0.03,,,,845,5,,,,,2.1,,10.5,,,,,0.05,,,5.32,5.84,129,18.3,,,,,,,,,202,2.1,,,0.5,,,10,1.3,,12.9,10,,5.223880597
198,427,,,,0.59,1.2,2,,,3.57,,2,,,,1010,5,,,,,1.8,,3.2,,,,,0.05,,,1.28,0.61,42.4,173,,,,,,,,,231,1.3,0.1,,2.1,,,10,5,,13.4,10,,1.641791045
199,428,,,,10,32.2,2,,,137.6664124,,2,,33.66808403,,999,5,,,,,1.4,,8.4,,,,,0.05,,,4.518344046,35.59935454,12.9,23,,,,1.50010756,,,,,258,0.66,0.6,,0.7,,,10,1.6,,11.2,10,,5.671641791
200,429,,,,1.3,21.8,2,,,146,,0.218,,,,3190,5,,,,,1.3,,40.6,,,,,0.05,,,6.5,70.9,234,489,,,,,,,,,196,2.39,0.1,,1.6,,,10,5,,11.3,10,,1.641791045
201,430,,,,8.86,207,2,,,59.8,,0.099,,,,7110,5,,,,,16.7,,45.7,,,,,0.05,,,11.8,23.1,32.8,1410,,,,,,,,,215,3,0.2,,3.6,,,10,9.81,,12.2,10,,42.3880597
202,431,,,,5.4,13.4,2,,,6.95,,2,,,,569,5,,,,,4.9,,5.4,,,,,0.05,,,2.16,1.93,4.77,110,,,,,,,,,168,3,0.1,,,,,10,5.74,,15.6,10,,19.70149254
203,432,,,,8.47,159,2,,,51,,0.19,,,,537,6.2,,,,,1.8,,29.6,,,,,0.016,,,22.6,15.6,411,50.4,,,,,,,,,158,11.5,0.5,,0.9,,,10,2.06,,11,10,,5.223880597
204,433,,,,6.82,143,2,,,18.7,,0.14,,,,1669,5.8,,,,,11.3,,23.4,,,,,0.05,,,7.85,9.25,239,352,,,,,,,,,199,2.86,0.2,,0.7,,,10,15.1,,7.4,10,,28.05970149
205,434,,,,9.03,18.5,2,,,24.4,,0.034,,,,3,5,,,,,8.1,,,,,,,0.05,,,1.47,4.15,2,297,,,,,,,,,196,3,,,,,,10,3.2,,14.8,10,,37.68
206,435,,380,,39.60763034,73,2,,,6.4,,0.5,,30.08609216,,952,7.5,,,,,42.2,,18.7,,,25,25,0.05,,,1,2.1,7.8,209.8819435,,,,1.200073031,,0.05,0.86,,256,7.9,0.894,,,,0.894,10,43.97644239,,12.9,10,1.86,69.25373134
207,437,,,,10,58.1,2,,,51.5,,2,,,,585,5,,,,,8.94,,3.82,,,,,0.074,,,2.09,13.5,34.6,42.1,,,,,,,,,228,3,1.06,,0.378,,,10,5,,10.7,10,,9.92238806
208,438,,,,18.3,8.8,2,,,1.04,,2,,,,521,5,,,,,10.3,,3.17,,,,,0.076,,,0.734,0.255,8,133,,,,,,,,,295,1.2,0.01,,0.021,,,10,5,,11.5,10,,13.55373134
209,439,,,,10,57.9,2,,,96,,2,,,,1049,5,,,,,45.4,,16,,,,,0.076,,,1.35,29.2,7.9,80.3,,,,,,,,,237,3,0.104,,0.603,,,10,11.7,,12.1,10,,68.39552239
210,440,,,,10,38.7,2,,,2.2,,2,,,,488,5,,,,,0.125,,1.83,,,,,0.069,,,1.34,0.428,5.4,119,,,,,,,,,269,3,0.106,,0.077,,,3,5,,12.8,4.4,,0.67761194
211,441,,,,10,49.3,2,,,41.6,,2,,,,640,4.2,,,,,6.8,,25.3,,,,,0.065,,,0.3,15.8,3.4,59,,,,,,,,,201,1.8,0.024,,0.661,,,10,5,,21.25,10,,11.19402985
212,442,,,,10,68.2,2,,,29.5,,2,,,,449,5,,,,,0.792,,4.07,,,,,0.074,,,2.54,6.56,32,60.9,,,,,,,,,410,3,0.342,,0.065,,,10,5,,11.5,10,,0.41641791
213,443,,,,4.2,41.4,2,,,18.1,,2,,,,822,5,,,,,11.5,,4.53,,,,,0.058,,,1.95,3.34,34.3,194,,,,,,,,,487,3,1.88,,1.13,,,10,5,,17.1,6.2,,10.6358209
214,444,,,,10,121,2,,,74.7,,2,,,,532,5,,,,,1.86,,1.58,,,,,0.069,,,0.668,13.6,1.8,15.9,,,,,,,,,290,3,0.078,,0.247,,,10,5,,12.6,10,,4.770149254
215,445,,,,10,101,2,,,67.2,,2,,,,442,3.6,,,,,3,,3.4,,,,,0.07,,,1.12,10.3,39.1,6.43,,,,,,,,,287,3,0.073,,0.799,,,10,5,,8.8,10,,4.47761194
216,446,,,,10,213,2,,,83.7,,2,,,,634,5,,,,,6.5,,2.69,,,,,0.05,,,0.752,17.4,2.1,21.6,,,,,,,,,162,4.8,0.102,,0.812,,,10,5,,21.9,10,,10.52537313
217,447,,,,10,146,2,,,69.8,,2,,,,502,5,,,,,1.77,,1.65,,,,,0.05,,,0.725,15.5,4,16.5,,,,,,,,,358,3.2,0.059,,0.219,,,7.2,5,,14.3,10,,3.6
218,448,,,,10,241,2,,,73.4,,2,,,,489,5,,,,,3.85,,1.9,,,,,0.05,,,1.04,15.3,28.4,15.8,,,,,,,,,301,3,0.099,,0.812,,,10,5,,24.7,3.8,,4.719402985
219,449,,,,10,186,2,,,70.4,,2,,,,502,5,,,,,0.915,,1.87,,,,,0.05,,,0.833,11.1,0.83,12,,,,,,,,,350,3,0.037,,0.703,,,3.1,5,,12.6,10,,3.682089552
220,450,,,,10,183,2,,,74.9,,2,,,,514,5,,,,,2.56,,2.82,,,,,0.05,,,1.08,12.7,6,14.7,,,,,,,,,292,2.2,0.059,,0.584,,,2.3,5,,15.4,10,,2.729850746
221,451,,,,2.6,183,2,,,75.8,,2,,,,564,5,,,,,2.27,,1.98,,,,,0.05,,,1.32,21.6,29.2,21.7,,,,,,,,,283,3,0.193,,0.833,,,10,5,,24.5,4.3,,4.570149254
222,452,,,,10,137,2,,,88.1,,2,,,,583,5,,,,,2.31,,1.49,,,,,0.05,,,0.3,17.5,1.6,18.7,,,,,,,,,342,1.2,0.049,,0.539,,,10,5,,12,10,,3.644776119
223,453,,,,10,61.7,2,,,71.7,,2,,,,771,5,,,,,4.31,,0.704,,,,,0.073,,,0.3,18.1,0.95,40.1,,,,,,,,,256,3,0.034,,0.503,,,10,5,,21,10,,5.17761194
224,454,,,,4.8,245,0.17,,,107,,2,,,,490,5.3,,,,,2.35,,3.83,,,,,0.052,,,2.85,15.9,135,15.2,,,,,,,,,360,67.8,0.058,,0.56,,,10,5,,15.9,10,,4.364179104
225,455,,,,10,97.2,2,,,76.6,,2,,,,636,5,,,,,1.54,,4.28,,,,,0.05,,,2.25,21.2,98.1,34.9,,,,,,,,,260,3,0.112,,0.891,,,2.8,5,,12,10,,5.823880597
226,456,,,,10,101,2,,,81.8,,2,,,,1148,5,,,,,3.59,,5.27,,,,,0.05,,,3.55,34.2,46.6,129,,,,,,,,,308,1.4,0.098,,1.24,,,10,5,,18.8,10,,9.373134328
227,457,,,,3.6,203,2,,,42.6,,2,,,,841,3.4,,,,,9.98,,6.45,,,,,0.05,,,1.65,17.3,208,128,,,,,,,,,233,11.5,0.09,,0.5,,,10,5,,10.2,10,,22.91940299
228,458,,,,11.4,312,2,,,101,,2,,,,1233,5,,,,,20.3,,14.2,,,,,0.05,,,1.66,26.9,4,109,,,,,,,,,325,3,0.726,,0.698,,,10,12.6,,15,10,,45.32089552
229,459,,,,9.1,108,2,,,4.69,,2,,,,1320,5,,,,,0.41,,2.17,,,,,0.05,,,1.35,1.7,1.5,287,,,,,,,,,518,2.6,0.114,,0.444,,,6.7,5,,11.2,2.7,,0.208955224
230,460,,,,6.6,221,2,,,69.9,,2,,,,1001,5,,,,,18.6,,5.53,,,,,0.05,,,1.64,27.1,0.92,57.1,,,,,,,,,221,2.8,0.106,,0.723,,,4.8,5,,10.08,10,,24.10149254
231,461,,,,9.7,194,2,,,15.4,,2,,,,773,5,,,,,4.95,,2.89,,,,,0.068,,,1.36,4.8,4.6,200,,,,,,,,,203,1.7,0.032,,0.297,,,10,5,,12.7,3.4,,13.30447761
232,462,,,,4.3,84.4,0.33,,,45.4,,4.3,,,,356,12.1,,,,,3.6,,5.98,,,,,0.057,,,7.21,9.91,125,5.13,,,,,,,,,307,100,0.287,,0.964,,,10,5,,12.6,10,,5.494029851
233,463,,,,10,15.2,2,,,58.3,,2,,,,490,5,,,,,3.19,,2.8,,,,,0.05,,,1.03,8.48,4,5.83,,,,,,,,,284,3,0.056,,0.383,,,10,5,,12.2,10,,7.640298507
234,464,,,,6,254,2,,,53,,2,,,,523,5,,,,,5.9,,5.44,,,,,0.05,,,2.07,17.1,4,32.9,,,,,,,,,328,3,0.167,,0.775,,,10,5,,13.4,4.7,,10.88059701
235,468,,,,3.5,37,2,,,64.9,,2,,,,345,5,,,,,4.3,,3.43,,,,,0.061,,,0.916,6.38,14.4,5,,,,,,,,,300,3,0.052,,0.465,,,10,5,,17,3.4,,6.6
