well_id,wellUse,As_,Ba,Ca,Cl_,Cr,GrossAlpha_U_Nat,Nitrate,Pb,Ra_Total,Se,U,None
475,Unknown,4.1,144,10.2,,5,,,3,,5,0.047761194,
476,Unknown,8,210,81.2,,5,,,3,,5,187.0746269,
477,Unknown,10,44.2,13.9,,5,,,8.9,,5,0.888059701,
478,Unknown,4.2,149,37.8,,5,,,3,,5,15.09552239,
479,Unknown,3.2,137,57.8,,20,,,3,,5,25.95671642,
480,Unknown,4.1,119,31.3,,5,,,3,,5,13.07462687,
481,Unknown,10,91,55.7,,5,,,1.2,1.736,5,4.594029851,
482,Unknown,6.06,63.3,44.5,,5,,,0.85,,7.4,16.56716418,
483,Unknown,11.4,17,1.02,,3.2,,,3,,2.2,27.6119403,
484,Unknown,26,28.3,2.155,,20,,,3,,6,13.58208955,
485,Livestock,2.3,87.9,9.55,,5,,,3,,31.7,10.89552239,
486,Livestock,2.7,34.3,58.3,,5,,,3,,0.62,113.4328358,
487,Livestock,10,40.6,53.55,,5,,,3,6.209,5.7,48.20895522,
488,Livestock,10,80.2,21.25,,5,,,3,2.688,5,40.59701493,
489,Livestock,10,20.4,76.2,,5,,,3,2.16,5,30.29850746,
493,Unknown,10,19.3,46.8,,0.33,,,3,,4.3,0.344776119,
494,Unknown,7.89,147,51,,5,,,3,,5.14,48.95522388,
495,Unknown,4.21,299,44.1,,5,,,3,,1.7,14.32835821,
496,Unknown,10,2.5,0.3,,5,,,3,,5,1.791044776,
497,Unknown,10,15.9,29,,3.7,,,3,,5,1.194029851,
498,Unknown,10,40.4,23,,5,,,3,,5,13.58208955,
499,Unknown,,,,,,,,,0.5,,,
500,Domestic,,35,43,,20,,,1,,1,2,
501,Unknown,20,24,33.6,,2.6,,,1.2,3.566,25,35,
502,Domestic,,,99,,,,1.3,,,,,
503,Domestic,,30,119,,20,,,1,,1,25.71268263,
504,Unknown,,,,,,,,,,,,
505,Domestic,,,,,,,,,,,,
506,Domestic,,,,,0.394025886,,,0.066418355,,23.32002989,12.23151026,
509,Unknown,234.4223967,,2.363374054,,1.803238435,,19.76875445,0.066418355,,27.89945409,560.170256,
511,Unknown,1.42720854,,27.1318495,,2.085860471,,4.71067835,0.056781058,,,18.4827539,
512,Livestock,8.665189383,35,51,,15,19,9.37709689,40,,15.74089631,6.67,
513,Unknown,,26,2.5,,5,60,,10,,,,
524,Unknown,1,30,24.5,,,,0.12,,,,,
541,Unknown,10,0.77,52.6,,5,,,1.8,,5,7.97761194,
